Title,listing_title,short_description,Description,Segment,listing_image,Images,detail_url,Website,Email,ContactPhone,Founders,Status,Investments,Certification,Team,Programs,LookingForTeam
Eleven Kings,Eleven Kings,"Eleven Kings pulsuz futbol meneceri oyunudur  Platformada klubları idarə edə, taktika qura , oyunçu transfer edə, turnirlərə qoşula bilərsiz","Eleven Kings pulsuz futbol meneceri oyunudur.  Platformada klubları idarə edə, taktika qura , oyunçu transfer edə, turnirlərə qoşula bilərsiz. Platforma futbol meneceri kimi bacarıqlarınızı göstərməyə və dünyada tanınmağa imkan yaradır.",İdman,https://www.startup.az/frontend/web/uploads//images/eleven-kigs.jpg,https://www.startup.az/frontend/web/uploads//images/eleven-kigs.jpg,https://www.startup.az/startup-content/eleven-kings-84,https://elevenkings.com/,info@elevenkings.com,https://www.facebook.com/elevenkingsgame/,Orxan Rzyayev,Satış edir,1 milyon AZN +,Yoxdur,....,,Komandaya üzv axtarılmır
Əmir Texniki Xidmətlər,Əmir Texniki Xidmətlər,Bal arılarını gənələrdən təmizlənməsi üzrə qurğunun istehsalı,Bal arılarını gənələrdən təmizlənməsi üzrə qurğunun istehsalı,Kənd təsərrüfatı,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/emir-texniki-xidmetler-160,prof.vugar.aliyev@gmail.com,prof.vugar.aliyev@gmail.com,994 50 212 55 45,Vüqar Əliyev,Satış edir,25 min AZN-ə qədər,Var,,,
Epoint.az,Epoint.az,Onlayn ödəniş aqreqatoru və elektron ticarət platforması,Onlayn ödəniş aqreqatoru və elektron ticarət platforması,Maliyyə və e-ticarət,https://www.startup.az/frontend/web/uploads//images/e-point.png,https://www.startup.az/frontend/web/uploads//images/e-point.png,https://www.startup.az/startup-content/epoint.az-169,https://epoint.az/,info@epoint.az,"+99470 242 99 66, +99412 488 64 47",,İşləyir,Axtarılmır,Var,,,
"""FOGİTO""","""FOGİTO""",Biznesin idarə edilməsi üzrə onlayn platforma,Biznesin idarə edilməsi üzrə onlayn platforma,Marketinq,https://www.startup.az/frontend/web/uploads//images/kobua.jpg,https://www.startup.az/frontend/web/uploads//images/kobua.jpg,https://www.startup.az/startup-content/fogito-180,https://fogito.com/,info@fogito.com,,"""FOGİTO"" MMC",İşləyir,25 min AZN-ə qədər,Var,,,
"""G-khan""","""G-khan""",Müstəqil kuryerlər və sifarişçilər arasında vasitəçi xidməti,Müstəqil kuryerlər və sifarişçilər arasında vasitəçi xidməti,Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/deliver.png,https://www.startup.az/frontend/web/uploads//images/deliver.png,https://www.startup.az/startup-content/g-khan-187,11delivery.com,m.qaraxani@gmail.com,+99450 245 9303,Mehman Qaraxani,Satış edir,Axtarılmır,Var,2 nəfər,“INNOLAND” İnkubasiya və Akselerasiya Mərkəzi,Proqramçı (həmtəsisçi)
Gbaru,Gbaru,Beynəlxalq təchizat və şəbəkə platforması,Beynəlxalq təchizat və şəbəkə platforması,Maliyyə və e-ticarət,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/icon.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/icon.png,https://www.startup.az/startup-content/gbaru-413,https://gbaru.com/login,info@gbaru.com,+994 552226464,"""Builders and Realtors Unity""MMC",İşləyir,Axtarılmır,Var,,,
“Glame” layihəsi,“Glame” layihəsi,Gözəllik xidməti və məhsulların satışı üçün onlayn marketpleys,Gözəllik xidməti və məhsulların satışı üçün onlayn marketpleys,Dəb və gözəllik,https://www.startup.az/frontend/web/uploads//images/Startuplar/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/Startuplar/kobia.jpg,https://www.startup.az/startup-content/glame-layihesi-368,https://glame.app/,info@glame.app,,"""Think” MMC",İşləyir,Axtarılmır,Var,,,
Glorri,Glorri,İşə qəbul prosesinin optimallaşdırılması üzrə onlayn platforma (proqram təminatı),İşə qəbul prosesinin optimallaşdırılması üzrə onlayn platforma (proqram təminatı),Marketinq,https://www.startup.az/frontend/web/uploads//images/glorri.jpg,https://www.startup.az/frontend/web/uploads//images/glorri.jpg,https://www.startup.az/startup-content/glorri-217,https://glorri.com/profile/glorri,anar@glorri.com,994 55 227 03 48,Glorri MMC,Satış edir,50 min AZN -ə,Var,,,
"""Goal+"" layihəsi","""Goal+"" layihəsi",Həvəskar idmançılar üçün onlayn platforma,Həvəskar idmançılar üçün onlayn platforma,İdman,https://www.startup.az/frontend/web/uploads//images/Startuplar/goal.jpg,https://www.startup.az/frontend/web/uploads//images/Startuplar/goal.jpg,https://www.startup.az/startup-content/goal-layihesi-384,https://goalplus.az/,info@email.com,,“Oneplusone” MMC,İşləyir,Axtarılmır,Var,,,
“Green Public”,“Green Public”,"Ağacəkmə, yaşıllaşdırma tədbirləri və ianələr üçün onlayn platforma","Ağacəkmə, yaşıllaşdırma tədbirləri və ianələr üçün onlayn platforma",Ekologiya,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/1739535400706.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/1739535400706.jpg,https://www.startup.az/startup-content/green-public-391,https://www.greenpublic.org/,-----,-----,Tural Yusifov,İşləyir,Axtarılmır,Var,,,
“Hatsuu” layihəsi,“Hatsuu” layihəsi,Onlayn təhsil platforması,Onlayn təhsil platforması,Təhsil,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-1.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-1.png,https://www.startup.az/startup-content/hatsuu-layihesi-395,https://hatsuu.com/,info@hatsuu.com,(+994 10) 313-66-21,Əliyeva Günay Azər qızı,İşləyir,Axtarılmır,Var,,,
Hesabat.az,Hesabat.az,Bulud tipli onalyn mühasibatlıq proqramı,Bulud tipli onalyn mühasibatlıq proqramı,Maliyyə və e-ticarət,https://www.startup.az/frontend/web/uploads//images/hesabat.png,https://www.startup.az/frontend/web/uploads//images/hesabat.png,https://www.startup.az/startup-content/hesabat.az-167,-----,hajiaga@hajiagali.com,994 70 211 54 40,,Satış edir,25 min AZN-ə qədər,Var,,,
“Hirpo”,“Hirpo”,İşçilərin xidməti fəaliyyətinin ölçülməsi və idarə edilməsi platforması,İşçilərin xidməti fəaliyyətinin ölçülməsi və idarə edilməsi platforması,Marketinq,https://www.startup.az/frontend/web/uploads//images/investor/kob.jpg,https://www.startup.az/frontend/web/uploads//images/investor/kob.jpg,https://www.startup.az/startup-content/hirpo-328,http://vxsida.gov.az/az,info@startup.az,,“Hirpo” MMC,İşləyir,Axtarılmır,Var,,,
“İbex”,“İbex”,Sürücülər və daşıyıcılar üçün balans idarəetmə və ödəniş sistemi,Sürücülər və daşıyıcılar üçün balans idarəetmə və ödəniş sistemi,Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/ibex-419,http://vxsida.gov.az/az,-----,-----,"""Multi Solutions"" MMC",İşləyir,Axtarılmır,Var,,,
"“iCheck""","“iCheck""",Onlayn həkim qəbulu üçün mobil platforma,Onlayn həkim qəbulu üçün mobil platforma,Tibb,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/icheck.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/icheck.png,https://www.startup.az/startup-content/icheck-456,icheck.az,info@icheck.com,+994558363997i,"""E-Tibb"" MMC",İşləyir,Axtarılmır,Var,,,
“İdeamarket.az” layihəsi,“İdeamarket.az” layihəsi,Müəllif ideyalarını və layihələri investorlara təqdim etmək üçün onlayn platforma,Müəllif ideyalarını və layihələri investorlara təqdim etmək üçün onlayn platforma,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/hq720.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/hq720.jpg,https://www.startup.az/startup-content/ideamarket.az-layihesi-404,https://ideamarket.az/,info@ideamarket.az,(+994 50) 264 39 28,Qədirov Bəhruz Cabbar oğlu,İşləyir,Axtarılmır,Var,,,
"""İloyal"" layihəsi","""İloyal"" layihəsi",Müştəri loyallığı və rəqəmsal menyu idarəetmə platforması,Müştəri loyallığı və rəqəmsal menyu idarəetmə platforması,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/iloyall.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/iloyall.png,https://www.startup.az/startup-content/iloyal-layihesi-424,https://iloyal.app/,sales@iloyal.app,+994 (50) 600 60 11,İloyal MMC,İşləyir,Axtarılmır,Var,,,
“İnnovativ Hesabat Sistemi”,“İnnovativ Hesabat Sistemi”,Tibb müəssisələrinin ekoloji standartlara uyğun işinin təşkili və idarə edilməsi üçün proqram təminatı,Tibb müəssisələrinin ekoloji standartlara uyğun işinin təşkili və idarə edilməsi üçün proqram təminatı,Tibb,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/innovativ-hesabat-sistemi-491,-----,info@startup.az,,“Professor Rahimov Academic Medical Center” MMC,İşləyir,Axtarılmır,Var,,,
"“İxtisas Seç""","“İxtisas Seç""",Təhsil müəssisələrinə qəbul üçün dəstək həyata keçirən onlayn platforma,Təhsil müəssisələrinə qəbul üçün dəstək həyata keçirən onlayn platforma,Təhsil,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/unnamed-1.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/unnamed-1.png,https://www.startup.az/startup-content/ixtisas-sech-471,-----,info@startup.az,,"“İxtisas Seç""  MMC",İşləyir,Axtarılmır,Var,,,
JinTravel,JinTravel,Jintravel sizin tur və ekskursiya ala biləcəyiniz onlayn tur marketdir Burada ölkələrində tur təşkil edən yerli tur bələdçi və şirkətlərlə çalışılılır,"Jintravel sizin tur və ekskursiya ala biləcəyiniz onlayn tur marketdir. Burada ölkələrində tur təşkil edən yerli tur bələdçi və şirkətlərlə çalışılılır. Bu turlar bir günlük və ya çox günlü ola bilər. Jintravelda tarixi, mədəni, təbiət və bir çox başqa kateqoriyalarda turlar var.",İstirahət və turizm,https://www.startup.az/frontend/web/uploads//images/jin.jpeg,https://www.startup.az/frontend/web/uploads//images/jin.jpeg,https://www.startup.az/startup-content/jintravel-104,https://jintravel.com/,support@jintravel.com,+99455 3605660,-----,Satış edir,Axtarılmır,Yoxdur,1-10,,
“JİS.Aİ”,“JİS.Aİ”,Süni intelekt əsasında veb səhifələrin dizaynı və hazırlanması üçün veb platforma,Süni intelekt əsasında veb səhifələrin dizaynı və hazırlanması üçün veb platforma,Qacetlər,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/jis.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/jis.jpg,https://www.startup.az/startup-content/jis.ai-457,https://www.jis.az/az/projects/jis-ai,office@jis.az,+994 77 404 99 00,“Jİ Studio” MMC,İşləyir,Axtarılmır,Var,,,
"""Kəndi-gətir""","""Kəndi-gətir""",Kənd təsərrüfatı məhsullarının onlayn satış platforması,Kənd təsərrüfatı məhsullarının onlayn satış platforması,Kənd təsərrüfatı,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-2.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-2.png,https://www.startup.az/startup-content/kendi-getir-438,https://kendmehsullari.az/kendi-getir-kendigetir-tebii-kend-mehsullari/,info@startup.az,070 575 60 32,İbrahimli Cavad,Satış edir,Axtarılmır,Var,,,
"“Kibermaarifləndirmə"" layihəsi","“Kibermaarifləndirmə"" layihəsi",Kibertəhlükəsizlik sahəsində onlayn xidmətlər,Kibertəhlükəsizlik sahəsində onlayn xidmətlər,Qacetlər,https://www.startup.az/frontend/web/uploads//images/Startuplar/cyberdesign.png,https://www.startup.az/frontend/web/uploads//images/Startuplar/cyberdesign.png,https://www.startup.az/startup-content/kibermaariflendirme-layihesi-383,https://cybersign.az/,info@cybersign.az,+994102154321,“Cybersign” MMC,İşləyir,Axtarılmır,Var,,,
“Kidfi”,“Kidfi”,Maliyyə savadlılığını və hesablama bacarıqlarını artıran onlayn platforma və mobil tətbiq,Maliyyə savadlılığını və hesablama bacarıqlarını artıran onlayn platforma və mobil tətbiq,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/kidfi.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/kidfi.png,https://www.startup.az/startup-content/kidfi-443,https://kidfi.az/,-----,,“KidFi” MMC,İşləyir,Axtarılmır,Var,,,
“Kipias”,“Kipias”,Təmir etmək istəyən ev sahibləri və podratçılar üçün onlayn platforma,Təmir etmək istəyən ev sahibləri və podratçılar üçün onlayn platforma,Həyat tərzi,https://www.startup.az/frontend/web/uploads//images/eco-system/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/eco-system/kobia.jpg,https://www.startup.az/startup-content/kipias-336,http://vxsida.gov.az/az,info@startup.az,,“Kipias” MMC,İşləyir,Axtarılmır,Var,,,
"“Kodlasan""","“Kodlasan""",Abituriyentlərin qəbul ərizələrinin tərtibatı üçün ağıllı onlayn platforma,Abituriyentlərin qəbul ərizələrinin tərtibatı üçün ağıllı onlayn platforma,Təhsil,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kodlasan.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kodlasan.jpg,https://www.startup.az/startup-content/kodlasan-463,https://www.kodlasan.az/,info@kodlasan.az,,"“Kodlasan"" MMC",İşləyir,Axtarılmır,Var,,,
Mediatrends,Mediatrends,Süni intellekt əsaslı media monitorinq və təhlil sistemi,Süni intellekt əsaslı media monitorinq və təhlil sistemi,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-3.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-3.png,https://www.startup.az/startup-content/mediatrends-412,https://yenimedia.az/,info@mediatrends.co,+99450 758 36 58,"""Mediatrends""MMC",İşləyir,Axtarılmır,Var,,,
Medsoft.az,Medsoft.az,Səhiyyə müəssisələrində elektron idarəetmənin təşkili üçün proqram təminatı,Səhiyyə müəssisələrində elektron idarəetmənin təşkili üçün proqram təminatı,Tibb,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/medsoft.az-176,https://medsoft.az/,info@medsoft.az,+994(50) 333 19 96,,İşləyir,Axtarılmır,Yoxdur,,,
“Mənzil Park”,“Mənzil Park”,Yaşayış kompleksləri və binaların idarəedilməsi üçün onlayn platforma,Yaşayış kompleksləri və binaların idarəedilməsi üçün onlayn platforma,Ev və yaşayış,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/mnzil-park.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/mnzil-park.jpg,https://www.startup.az/startup-content/menzil-park-432,https://menzilpark.az/,info@startup.az,,"""Mənzil Park"" Məhdud Məsuliyyətli Cəmiyyəti",İşləyir,Axtarılmır,Var,,,
Metafluence,Metafluence,İnfluencer-lərin öz fanatları ilə görüşə biləcəkləri blokçeyin və NFT əsaslı metaverse platforma,İnfluencer-lərin öz fanatları ilə görüşə biləcəkləri blokçeyin və NFT əsaslı metaverse platforma,Əyləncə,https://www.startup.az/frontend/web/uploads//images/files/img/startup-days-mentors/meta.jpg,https://www.startup.az/frontend/web/uploads//images/files/img/startup-days-mentors/meta.jpg,https://www.startup.az/startup-content/metafluence-215,https://metafluence.com/,contact@metafluence.com,contact@metafluence.com,"Emin Vəli, Vaqif Abbaslı, Elşad Yusifli, Fuad Kərimov",Satış edir,1 milyon AZN +,Yoxdur,1-30,,
"""Metatesk""","""Metatesk""",Onlayn təhsil platforması,Onlayn təhsil platforması,Təhsil,https://www.startup.az/frontend/web/uploads//images/investor/kob.jpg,https://www.startup.az/frontend/web/uploads//images/investor/kob.jpg,https://www.startup.az/startup-content/metatesk-332,http://vxsida.gov.az/az,info@startup.az,,"""Metatesk"" MMC",İşləyir,Axtarılmır,Var,,,
"“Money Tunnel""","“Money Tunnel""",Maliyyə təşkilatları ilə müştəriləri əlaqələndirən mobil tətbiq,Maliyyə təşkilatları ilə müştəriləri əlaqələndirən mobil tətbiq,Maliyyə və e-ticarət,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/moneytunnel.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/moneytunnel.png,https://www.startup.az/startup-content/money-tunnel-452,https://moneytunnel.az/,info@moneytunnel.az,+994 50 990 20 70,"“Money Tunnel""  MMC",İşləyir,Axtarılmır,Var,,,
“Mopsn”,“Mopsn”,Müxtəlif xidmətlərin satışı üçün mobil tətbiq (aqreqator),Müxtəlif xidmətlərin satışı üçün mobil tətbiq (aqreqator),Qacetlər,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/mopsn.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/mopsn.png,https://www.startup.az/startup-content/mopsn-489,https://mopsn.com/,info@startup.az,,“Mopsn” MMC,İşləyir,Axtarılmır,Var,,,
“Motobaza”,“Motobaza”,"Motosiklet, iki təkərli elektrikli nəqliyyat vasitələri və velosipedlər üçün onlayn marketpleys","Motosiklet, iki təkərli elektrikli nəqliyyat vasitələri və velosipedlər üçün onlayn marketpleys",Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/motobaza-500,https://motobaza.az/,info@startup.az,,"""Lumusoft"" MMC",İşləyir,Axtarılmır,Var,,,
“N’us Gallery” layihəsi,“N’us Gallery” layihəsi,İncəsənət əsərlərinin satışı üçün onlayn platforma,İncəsənət əsərlərinin satışı üçün onlayn platforma,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startuplar/nus.jpg,https://www.startup.az/frontend/web/uploads//images/Startuplar/nus.jpg,https://www.startup.az/startup-content/n-us-gallery-layihesi-386,https://nus.gallery/,info@nus.gallery,+994555796782,Novruzzadə Nigar Kamal qızı,Satış edir,Axtarılmır,Var,,,
“NaviMax”,“NaviMax”,GPS izləmə platforması (mobil tətbiq),GPS izləmə platforması (mobil tətbiq),Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/naximax.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/naximax.jpg,https://www.startup.az/startup-content/navimax-482,https://www.navimax.net/aboutus,info@startup.az,,“NaviMax” MMC,İşləyir,Axtarılmır,Var,,,
“Nomadman Studio” layihəsi,“Nomadman Studio” layihəsi,Kompyuter oyunlarının istehsalı,Kompyuter oyunlarının istehsalı,Oyun,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/nomadmanstudiologo.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/nomadmanstudiologo.jpg,https://www.startup.az/startup-content/nomadman-studio-layihesi-399,https://nomadman.studio/,-----,-----,"""Nomadman Studio"" MMC",İşləyir,Axtarılmır,Var,,,
“Nooshcard”,“Nooshcard”,İşçi heyəti üçün rəqəmsal yemək kartı həlli,İşçi heyəti üçün rəqəmsal yemək kartı həlli,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/Noosh-card.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/Noosh-card.png,https://www.startup.az/startup-content/nooshcard-433,https://nooshcard.az/,info@nooshcard.az,+994 10 525 88 81,"""Nooshcard"" Məhdud Məsuliyyətli Cəmiyyəti",İşləyir,Axtarılmır,Var,,,
“NovaLingua” layihəsi,“NovaLingua” layihəsi,Xarici dillərin öyrədilməsi və qiymətləndirilməsi üçün süni intellekt əsaslı onlayn platforma,Xarici dillərin öyrədilməsi və qiymətləndirilməsi üçün süni intellekt əsaslı onlayn platforma,Təhsil,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/skcsc.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/skcsc.jpg,https://www.startup.az/startup-content/novalingua-layihesi-402,https://novalingua.org/,tofiq@novalingua.org,051 404 44 04,"""Novalingua"" MMC",İşləyir,Axtarılmır,Var,,,
"“Oenva""","“Oenva""",Onlayn intellektual oyun platforması,Onlayn intellektual oyun platforması,Oyun,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/oenva-485,www.oenva.az,info@startup.az,+994998884088,"“Oenva""  MMC",İşləyir,Axtarılmır,Var,,,
Onepoint,Onepoint,Onepointaz – kredit prosesini avtomatlaşdıran onlayn marketpleysdir,Onepoint.az – kredit prosesini avtomatlaşdıran onlayn marketpleysdir. Müştəriləriniz üçün müstəsna xidmət keyfiyyəti və yüksək satış təmin etmək üçün OnePoint etibarlı tərəfdaşdır. Kreditli satışa yeni yanaşmamız sizin və müştərilərinizin bu sahəyə baxışını dəyişəcək.,Marketinq,https://www.startup.az/frontend/web/uploads//images/investor/OnePointLogoFullDark.png,https://www.startup.az/frontend/web/uploads//images/investor/OnePointLogoFullDark.png,https://www.startup.az/startup-content/onepoint-247,www.virtualcard.az,agshin.mammadaliyev@gmail.com,+994706676040,"Aqşin Məmmədəliyev, Namik Abbasov ""Finmarket"" MMC",Satış edir,Axtarılmır,Var,12 nəfər,“INNOLAND” İnkubasiya və Akselerasiya Mərkəzi,xeyr
"""Onrepetitor""","""Onrepetitor""",Onlayn tədris və hazırlıq platforması,Onlayn tədris və hazırlıq platforması,Təhsil,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/onerepititor.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/onerepititor.jpg,https://www.startup.az/startup-content/onrepetitor-435,https://onrepetitor.az/,info@onrepetitor.com,+994 77-228-22-07,"""Onrepetitor"" Məhdud Məsuliyyətli Cəmiyyəti",İşləyir,Axtarılmır,Var,,,
“Otobaza Azerbaijan”,“Otobaza Azerbaijan”,Avtomobil ehtiyat hissələri üçün marketpleys,Avtomobil ehtiyat hissələri üçün marketpleys,Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/oto.jpg,https://www.startup.az/frontend/web/uploads//images/oto.jpg,https://www.startup.az/startup-content/otobaza-azerbaijan-189,https://otobaza.com/,office@otobaza.com,994 50 655 01 66,,Satış edir,50 min AZN -ə,Var,,,
"""Oxuyan""-Edtech","""Oxuyan""-Edtech",Onlayn imtahanların təşkili üzrə platforma,Onlayn imtahanların təşkili üzrə platforma,Təhsil,https://www.startup.az/frontend/web/uploads//images/oxuyan.png,https://www.startup.az/frontend/web/uploads//images/oxuyan.png,https://www.startup.az/startup-content/oxuyan-edtech-175,-----,info@startup.az,+994 50 870 5801,"Əmiraslan Baxşılı, Orxan Əlixanov",Satış edir,Axtarılmır,Var,2,“INNOLAND” İnkubasiya və Akselerasiya Mərkəzi,Xeyr
“Pacco”,“Pacco”,Onlayn gül və hədiyyə sifarişi platforması,Onlayn gül və hədiyyə sifarişi platforması,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/pacco.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/pacco.jpg,https://www.startup.az/startup-content/pacco-461,https://pacco.az/,we@pacco.az,,"""Pacco Onlayn Ticarət"" MMC",Satış edir,Axtarılmır,Var,,,
Papigo,Papigo,Heyvan sahibləri və ev heyvanlarına qayğı xidməti göstərən şəxslər arasında əlaqə yaradan rəqəmsal platforma,Heyvan sahibləri və ev heyvanlarına qayğı xidməti göstərən şəxslər arasında əlaqə yaradan rəqəmsal platforma,Ekologiya,https://www.startup.az/frontend/web/uploads//images/eco-system/Papigo-Logo-1.png,https://www.startup.az/frontend/web/uploads//images/eco-system/Papigo-Logo-1.png,https://www.startup.az/startup-content/papigo-262,www.papigo.app,info@papigo.app,+994 55 667 37 29,"Xəyal Novruzov, Aqşin Rəcəbov",İşləyir,Axtarılmır,Yoxdur,"1 developer, 1 UX/UI designer, 1 marketing manager, 1 product owner",ABB Tech Akademiyası,Xeyr
"""Parqour""","""Parqour""",Parkinq üçün proqram təminatı,Parkinq üçün proqram təminatı,Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/eco-system/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/eco-system/kobia.jpg,https://www.startup.az/startup-content/parqour-337,https://www.linkedin.com/company/parqour/,https://www.linkedin.com/company/parqour/,https://www.linkedin.com/company/parqour/,Asim Novruzov,İşləyir,Axtarılmır,Var,,,
“Performance MS”,“Performance MS”,Təhsil müəssisələrinin akademik və administrativ əməliyyatlarının idarəedilməsi üçün platforma və mobil tətbiq,Təhsil müəssisələrinin akademik və administrativ əməliyyatlarının idarəedilməsi üçün platforma və mobil tətbiq,Təhsil,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/performance-ms-497,-----,info@startup.az,,"""Performance Center"" MMC",İşləyir,Axtarılmır,Var,,,
